total_area_sqft,property_type,sector,plot_area_missing,bathrooms,society,area_per_bedroom,servant_room,bedrooms,furnishing_type,balcony,facing,luxury_category,age_possession,pooja_room,price_in_cr
2844.0,Independent Builder Floor,sector 24,1,4,ULTRA LUXURY NAMO HOMES BUILDER FLOOR,711.0,1,4,Semi-Furnished,2,north,Semi-Luxury,Relatively New,0,3.45
3240.0,Independent Builder Floor,sector 43,1,5,"Sushant Lok Phase 1, Gurgaon",810.0,1,4,Semi-Furnished,3+,east,Budget,New Property,1,5.1
1080.0,Independent House,sector 110,0,3,"New Palam Vihar Phase 3, Gurgaon",270.0,0,4,Furnished,2,south,Semi-Luxury,Moderately Old,1,1.4
1550.0,Flat,sector 99,1,2,cosmos express 99,775.0,0,2,Unfurnished,2,north-east,Budget,Relatively New,0,1.38
2700.0,Independent Builder Floor,sector 67,1,4,Ansal API Esencia,675.0,1,4,Semi-Furnished,2,north-west,Luxury,New Property,1,2.61
3240.0,Independent House,sector 50,0,3,Unitech Espace,1080.0,1,3,Unfurnished,3+,east,Semi-Luxury,Relatively New,1,15.0
2160.0,Independent House,sector 50,0,2,Unitech Deerwood Chase,720.0,1,3,Semi-Furnished,1,north,Semi-Luxury,Old Property,0,9.5
3762.0,Independent Builder Floor,sector 43,1,5,Green Meadows,752.4,1,5,Unfurnished,2,north-west,Budget,New Property,0,6.5
1935.0,Flat,sector 67,1,4,bestech park view spa next,645.0,1,3,Semi-Furnished,3,north,Luxury,Moderately Old,0,3.0
4500.0,Independent House,sector 50,0,3,Unitech Nirvana Birch Court,1500.0,1,3,Semi-Furnished,1,east,Luxury,Old Property,0,20.0
2106.0,Independent Builder Floor,sector 26,1,4,Premium Luxury DLF City Floors,526.5,1,4,Unfurnished,2,north-east,Semi-Luxury,New Property,0,4.5
3240.0,Independent House,sector 31,0,4,"Sector 31, Gurgaon",810.0,0,4,Unfurnished,2,west,Semi-Luxury,Old Property,0,9.5
3150.0,Independent House,sector 66,0,4,Emaar MGF Marbella,787.5,1,4,Semi-Furnished,3,north-east,Semi-Luxury,Relatively New,0,16.0
1449.0,Independent House,sector 5,0,3,"Sector 5, Gurgaon",483.0,0,3,Unfurnished,2,east,Budget,Old Property,1,3.35
1650.0,Independent House,sector 43,1,1,"Sushant Lok Phase 1, Gurgaon",1650.0,0,1,Unfurnished,0,not available,Budget,Relatively New,0,2.15
1485.0,Flat,sector 67,1,2,ireo the corridors,742.5,0,2,Unfurnished,3+,east,Semi-Luxury,Moderately Old,0,2.45
2625.0,Flat,sector 66,1,4,emaar mgf the palm drive,656.25,1,4,Semi-Furnished,2,north,Luxury,Moderately Old,0,5.19
3505.0,Flat,sector 62,1,4,pioneer araya,1168.3333333333333,1,3,Unfurnished,3,north-east,Semi-Luxury,Old Property,0,11.0
4680.0,Independent House,sector 1,0,8,"Palam Vihar, Gurgaon",585.0,1,8,Unfurnished,3+,south-east,Semi-Luxury,New Property,1,15.0
1689.0,Flat,sector 102,1,3,adani m2k oyster grande,563.0,0,3,Unfurnished,3+,north-east,Budget,Relatively New,0,2.4
1700.0,Independent Builder Floor,sector 49,1,3,"Block A South City 2, Gurgaon",566.6666666666666,1,3,Semi-Furnished,2,not available,Budget,New Property,0,2.55
1196.0,Independent Builder Floor,sector 89,1,2,Smart World Gems,598.0,0,2,Unfurnished,2,south,Luxury,New Property,0,1.36
1349.0,Flat,sector 102,1,2,shapoorji pallonji joyville gurugram,674.5,0,2,Unfurnished,2,east,Luxury,New Property,0,2.05
4500.0,Independent House,sector 47,0,6,"Malibu Town, Gurgaon",900.0,1,5,Semi-Furnished,3+,north-west,Luxury,Moderately Old,1,15.0
1440.0,Independent House,sector 4,0,4,"Sector 4, Gurgaon",360.0,1,4,Unfurnished,3+,north-east,Luxury,Relatively New,0,3.85
5900.0,Independent House,sector 70,0,5,Bptp Visionnaire,1180.0,1,5,Unfurnished,3+,north,Luxury,New Property,0,6.99
2250.0,Independent Builder Floor,sector 26,1,4,DLF Phase - 1,562.5,0,4,Semi-Furnished,2,north,Budget,Relatively New,0,4.3
1457.0,Flat,sector 33,1,2,eldeco acclaim,728.5,0,2,Furnished,3+,north-west,Luxury,Relatively New,0,1.65
2605.0,Flat,sector 50,1,4,the close north,868.3333333333334,1,3,Semi-Furnished,3,east,Luxury,Moderately Old,0,4.45
1157.0,Independent Builder Floor,sector 89,1,2,M3M Soulitude,578.5,0,2,Unfurnished,2,north-west,Luxury,New Property,0,1.32
2350.0,Independent Builder Floor,sector 26,1,5,DLF Phase - 1,587.5,0,4,Semi-Furnished,2,north-east,Budget,Relatively New,0,5.3
1720.0,Flat,sector 83,1,3,emaar palm gardens,573.3333333333334,1,3,Unfurnished,3,east,Budget,Relatively New,0,2.2
1516.0,Flat,sector 65,1,2,m3m heights,758.0,0,2,Unfurnished,2,not available,Semi-Luxury,Relatively New,0,2.8
3360.0,Flat,sector 99,1,4,vatika sovereign park,840.0,1,4,Unfurnished,3+,west,Semi-Luxury,Relatively New,0,4.71
2625.0,Flat,sector 72,1,5,tata primanti,656.25,1,4,Semi-Furnished,3+,north-east,Luxury,Relatively New,0,4.65
1950.0,Independent Builder Floor,sector 57,1,3,"Sushant Lok 3 Extension, Gurgaon",650.0,1,3,Semi-Furnished,2,east,Budget,Relatively New,1,2.7
6000.0,Independent House,sector 70,1,4,Bptp Visionnaire,1500.0,1,4,Unfurnished,3+,north,Luxury,Relatively New,1,6.3
1737.0,Flat,sector 90,1,3,dlf regal gardens,579.0,0,3,Unfurnished,3,east,Luxury,Moderately Old,0,2.0
1099.0,Flat,sector 104,1,2,hero homes,549.5,0,2,Semi-Furnished,2,north-east,Budget,New Property,1,1.55
3240.0,Independent Builder Floor,sector 50,1,4,Unitech South City 2,810.0,1,4,Unfurnished,2,north-east,Budget,New Property,1,4.25
1484.0,Flat,sector 67,1,2,ireo the corridors,742.0,0,2,Semi-Furnished,2,north-east,Luxury,Relatively New,1,2.59
1550.0,Flat,sector 77,1,3,emaar palm heights,516.6666666666666,1,3,Unfurnished,3,west,Budget,Relatively New,0,2.82
3500.0,Independent House,sector 1,0,4,Celebrity Homes,875.0,1,4,Unfurnished,2,north,Luxury,Old Property,0,5.25
1900.0,Flat,sector 103,1,3,indiabulls centrum park,633.3333333333334,0,3,Unfurnished,3+,east,Budget,Relatively New,0,2.05
6300.0,Independent House,sector 55,0,3,"Sector 55, Gurgaon",2100.0,1,3,Furnished,3,north-east,Luxury,New Property,1,21.0
2160.0,Independent Builder Floor,sector 57,1,3,"Sushant Lok Phase 3, Gurgaon",720.0,1,3,Semi-Furnished,1,east,Luxury,New Property,1,3.2
2010.0,Flat,sector 69,1,4,tulip violet,502.5,1,4,Semi-Furnished,2,north-east,Semi-Luxury,Moderately Old,0,3.2
4500.0,Independent Builder Floor,sector 73,1,4,DLF Alameda,1125.0,1,4,Semi-Furnished,2,east,Budget,New Property,1,7.5
3240.0,Independent Builder Floor,sector 1,1,4,"Palam Vihar, Gurgaon",810.0,1,4,Unfurnished,2,south,Budget,Relatively New,1,3.35
1728.0,Independent House,sector 49,1,3,Eros City Square,432.0,0,4,Semi-Furnished,2,south-east,Luxury,Relatively New,1,5.89
4518.0,Independent Builder Floor,sector 23,1,5,"Sector 23, Gurgaon",1129.5,1,4,Unfurnished,2,south-east,Semi-Luxury,Relatively New,1,4.1
3460.0,Flat,sector 99,1,4,vatika sovereign park,865.0,1,4,Unfurnished,3,north-east,Semi-Luxury,Relatively New,0,4.37
6325.0,Flat,sector 112,1,6,experion windchants,1265.0,1,5,Unfurnished,3+,east,Semi-Luxury,Relatively New,1,7.9
3240.0,Independent House,sector 50,0,4,"Nirvana Country, Gurgaon",810.0,1,4,Furnished,0,north,Semi-Luxury,Old Property,0,14.0
1975.0,Independent Builder Floor,sector 65,1,4,Emaar MGF Emerald Floors Premier,493.75,1,4,Unfurnished,3,east,Semi-Luxury,Relatively New,0,4.0
600.0,Independent House,sector 105,0,2,urban Home,300.0,0,2,Unfurnished,1,north-west,Budget,Under Construction,0,0.8
6768.0,Independent House,sector 48,0,6,Vipul Tatvam Villa,1353.6,1,5,Semi-Furnished,3,north-east,Luxury,Relatively New,0,21.0
2660.0,Flat,sector 81,1,4,bestech park view grand spa,886.6666666666666,1,3,Unfurnished,3+,west,Semi-Luxury,Relatively New,0,3.49
2780.0,Flat,sector 99,1,5,vatika sovereign park,926.6666666666666,1,3,Unfurnished,3+,east,Budget,Relatively New,0,3.65
1836.0,Independent House,sector 55,0,6,"Sushant Lok 2,Sector 55, Gurgaon",306.0,0,6,Unfurnished,2,east,Semi-Luxury,Relatively New,1,6.1
3200.0,Flat,sector 84,1,6,spaze kalistaa,1066.6666666666667,1,3,Unfurnished,3,east,Budget,Relatively New,0,3.5
882.0,Independent House,sector 37,0,2,"Saraswati Enclave, Gurgaon",441.0,0,2,Unfurnished,0,west,Budget,New Property,0,1.1
3078.0,Independent House,sector 45,0,9,"Sector 45, Gurgaon",342.0,0,9,Unfurnished,2,north-west,Semi-Luxury,Moderately Old,1,9.0
3762.0,Independent House,sector 43,0,6,"Sushant Lok Phase 1, Gurgaon",752.4,1,5,Unfurnished,3+,north,Luxury,Relatively New,1,12.0
2164.0,Flat,sector 58,1,4,ireo the grand arch,721.3333333333334,1,3,Unfurnished,2,north-east,Luxury,Moderately Old,0,4.9
1100.0,Flat,sector 33,1,2,central park flower valley flamingo floors,550.0,0,2,Unfurnished,3+,north,Semi-Luxury,Relatively New,0,1.58
3618.0,Independent House,sector 25,0,8,"Block M DLF phase 2, Gurgaon",452.25,1,8,Unfurnished,3+,east,Budget,Moderately Old,1,16.0
972.0,Independent House,sector 24,0,4,trimurti villas bhiwadi,243.0,1,4,Unfurnished,3+,east,Luxury,New Property,1,0.95
2700.0,Independent House,sector 82,0,4,Mapsko Casa Bella,675.0,1,4,Unfurnished,3+,east,Semi-Luxury,Relatively New,0,5.75
1995.0,Flat,sector 92,1,4,sare crescent parc,498.75,0,4,Unfurnished,3,east,Budget,Relatively New,0,1.75
1600.0,Independent Builder Floor,sector 70,1,2,BPTP Astaire Gardens,533.3333333333334,1,3,Semi-Furnished,2,east,Budget,New Property,1,1.85
1950.0,Flat,sector 66,1,3,emaar mgf the palm drive,650.0,1,3,Unfurnished,2,north-east,Budget,Relatively New,0,3.6
2950.0,Flat,sector 111,1,5,puri diplomatic greens,737.5,1,4,Unfurnished,3+,north-east,Semi-Luxury,Relatively New,0,4.75
3240.0,Independent Builder Floor,sector 1,1,4,Ansals Palam Vihar,810.0,0,4,Unfurnished,2,north-east,Semi-Luxury,New Property,1,3.25
1620.0,Independent Builder Floor,sector 83,1,2,Vatika Emilia Floors,810.0,0,2,Unfurnished,3,north-east,Luxury,Relatively New,0,1.33
2700.0,Independent Builder Floor,sector 57,1,4,"Block C Sushant Lok Phase - 3, Gurgaon",675.0,1,4,Semi-Furnished,2,north-west,Budget,New Property,0,3.9
4200.0,Flat,sector 81,1,6,bestech park view grand spa,1050.0,1,4,Semi-Furnished,3+,north-east,Semi-Luxury,Relatively New,0,5.35
2290.0,Flat,sector 104,1,3,ats triumph,763.3333333333334,1,3,Unfurnished,3+,north,Luxury,Relatively New,0,2.7
1855.0,Flat,sector 106,1,3,godrej meridien,618.3333333333334,0,3,Unfurnished,3+,north,Budget,New Property,0,2.85
2575.0,Flat,sector 112,1,4,tata gurgaon gateway,858.3333333333334,1,3,Unfurnished,3,north-east,Luxury,Moderately Old,0,4.1
1449.0,Independent House,sector 40,0,6,"Sector 40, Gurgaon",241.5,0,6,Unfurnished,2,north-west,Semi-Luxury,Old Property,1,5.65
2650.0,Independent Builder Floor,sector 43,1,4,"A Block Sushant Lok Phase 1, Gurgaon",662.5,0,4,Furnished,2,east,Budget,Relatively New,0,3.66
1700.0,Flat,sector 104,1,3,puri emerald bay,850.0,1,2,Unfurnished,3,not available,Budget,Relatively New,0,2.42
2250.0,Independent House,sector 7,0,3,"Sector 7, Gurgaon",750.0,0,3,Unfurnished,2,north-west,Budget,Old Property,0,4.6
2905.0,Flat,sector 72,1,5,tata primanti,726.25,1,4,Unfurnished,3+,north-east,Semi-Luxury,Moderately Old,0,5.35
1200.0,Flat,sector 66,1,2,emaar mgf palm studios,600.0,0,2,Semi-Furnished,2,north-east,Semi-Luxury,Relatively New,0,2.37
972.0,Independent House,sector 105,0,4,trimurti plots villas,243.0,1,4,Unfurnished,3+,east,Luxury,New Property,1,0.95
2160.0,Independent Builder Floor,sector 50,1,3,Unitech South City 2,720.0,1,3,Unfurnished,2,north-east,Semi-Luxury,New Property,1,3.4
1380.0,Independent Builder Floor,sector 65,1,3,Emaar Emerald Hills,460.0,0,3,Unfurnished,3,north,Luxury,Relatively New,0,2.95
2550.0,Independent House,sector 26,1,5,Ultra Luxurious Builder Floor,637.5,1,4,Semi-Furnished,3+,north-west,Luxury,Moderately Old,1,15.0
4857.0,Flat,sector 112,1,5,experion windchants,1214.25,1,4,Unfurnished,3+,north-east,Budget,Relatively New,0,7.88
2367.0,Independent House,sector 40,0,8,"Sector 40, Gurgaon",295.875,0,8,Unfurnished,2,south-east,Semi-Luxury,Old Property,1,7.5
955.0,Flat,sector 81,1,2,signature signum 81,477.5,0,2,Unfurnished,2,north-east,Budget,Relatively New,0,1.25
3240.0,Independent House,sector 1,0,7,"Palam Vihar, Gurgaon",540.0,1,6,Semi-Furnished,2,east,Semi-Luxury,Relatively New,1,8.25
1854.0,Independent House,sector 102,0,3,BPTP Amstoria,463.5,0,4,Unfurnished,3,north-east,Luxury,New Property,0,5.7
1960.0,Flat,sector 82,1,3,mapsko casa bella,653.3333333333334,0,3,Unfurnished,3,north-west,Semi-Luxury,Relatively New,0,2.05
2160.0,Independent Builder Floor,sector 47,1,3,Malibu Towne,720.0,1,3,Semi-Furnished,1,not available,Semi-Luxury,New Property,0,2.9
1650.0,Flat,sector 65,1,3,emaar mgf emerald floors premier,550.0,1,3,Furnished,3,north,Semi-Luxury,New Property,0,3.1
1342.0,Flat,sector 77,1,2,umang winter hills,671.0,0,2,Unfurnished,2,north-east,Semi-Luxury,Moderately Old,0,1.36
2400.0,Flat,sector 67,1,4,m3m merlin,800.0,0,3,Unfurnished,3,not available,Budget,Moderately Old,0,4.85
2003.0,Flat,sector 108,1,4,experion the heartsong,667.6666666666666,1,3,Semi-Furnished,3+,east,Luxury,Moderately Old,0,2.35
2400.0,Independent Builder Floor,sector 65,1,4,"Sector 65, Gurgaon",600.0,0,4,Unfurnished,2,east,Budget,New Property,0,5.5
1611.0,Independent Builder Floor,sector 93,1,3,DLF Gardencity Enclave,537.0,1,3,Semi-Furnished,2,north-east,Luxury,New Property,0,1.95
1205.0,Flat,sector 33,1,2,ashiana anmol,602.5,0,2,Unfurnished,2,north,Semi-Luxury,New Property,0,1.3
2300.0,Independent Builder Floor,sector 45,1,3,"Sector 45, Gurgaon",766.6666666666666,1,3,Semi-Furnished,2,north-west,Semi-Luxury,New Property,0,2.62
822.0,Independent Builder Floor,sector 33,1,2,Signature Global Park,411.0,0,2,Unfurnished,3,north-east,Budget,Relatively New,0,0.75
765.0,Independent House,sector 1,0,2,"Pataudi Road, Gurgaon",765.0,0,1,Unfurnished,1,not available,Budget,Relatively New,0,0.3
1200.0,Independent Builder Floor,sector 89,1,2,Smart World Gems,600.0,0,2,Unfurnished,2,east,Luxury,New Property,0,1.4
1790.0,Flat,sector 67,1,3,bestech park view spa next,596.6666666666666,1,3,Semi-Furnished,3,east,Luxury,Moderately Old,0,2.99
1500.0,Independent Builder Floor,sector 26,1,3,"DLF Phase 1, Gurgaon",500.0,1,3,Semi-Furnished,2,north-west,Budget,Relatively New,0,3.25
1728.0,Independent House,sector 48,0,4,Vipul World,576.0,0,3,Unfurnished,3,north-west,Budget,Relatively New,0,6.5
4500.0,Independent House,sector 25,0,10,"DLF Phase 2, Gurgaon",500.0,1,9,Semi-Furnished,3,north-east,Semi-Luxury,Relatively New,1,25.0
1852.0,Flat,sector 102,1,3,shapoorji pallonji joyville gurugram,617.3333333333334,0,3,Unfurnished,3,north,Semi-Luxury,New Property,0,2.6
3400.0,Independent Builder Floor,sector 24,1,4,"S Block DLF Phase 3, Gurgaon",850.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,0,3.72
2430.0,Independent Builder Floor,sector 26,1,4,Top Terrace,607.5,1,4,Semi-Furnished,2,east,Budget,New Property,0,4.89
4518.0,Independent House,sector 33,0,4,Unitech Uniworld Resorts,1129.5,0,4,Unfurnished,3,not available,Budget,Relatively New,0,12.5
1595.0,Flat,sector 61,1,3,smart world orchard,531.6666666666666,0,3,Unfurnished,3,north-west,Semi-Luxury,Relatively New,0,2.65
1711.0,Flat,sector 108,1,3,sobha city,570.3333333333334,0,3,Unfurnished,2,east,Budget,New Property,0,3.48
4680.0,Independent Builder Floor,sector 1,1,4,"Palam Vihar, Gurgaon",1170.0,1,4,Unfurnished,3+,north,Budget,New Property,1,4.45
654.0,Independent House,sector 1,0,1,"Sector 1A IMT Manesar, Gurgaon",654.0,0,1,Unfurnished,2,north-east,Semi-Luxury,Relatively New,1,0.19
3240.0,Independent House,sector 28,0,4,"DLF Phase 4, Gurgaon",810.0,1,4,Unfurnished,2,south-east,Semi-Luxury,Old Property,1,12.5
1269.0,Flat,sector 2,1,2,eldeco acclaim,634.5,0,2,Unfurnished,3,north-east,Budget,Relatively New,0,1.25
3240.0,Independent Builder Floor,sector 41,1,4,"South City 1, Gurgaon",810.0,1,4,Semi-Furnished,2,north-east,Semi-Luxury,New Property,0,4.25
1098.0,Independent Builder Floor,sector 33,1,2,Central Park Flower Valley Cerise Floors,549.0,0,2,Semi-Furnished,3,east,Budget,New Property,0,1.7
1828.0,Flat,sector 65,1,3,m3m heights,609.3333333333334,0,3,Semi-Furnished,3,north-east,Semi-Luxury,Relatively New,0,3.41
2430.0,Independent House,sector 109,0,4,"Sector 109, Gurgaon",607.5,1,4,Unfurnished,3,east,Luxury,Relatively New,0,9.0
1359.0,Flat,sector 104,1,2,hero homes,453.0,0,3,Unfurnished,2,north-east,Semi-Luxury,New Property,0,1.85
2700.0,Independent Builder Floor,sector 50,1,3,Mayfield Gardens,900.0,1,3,Semi-Furnished,3,north-east,Budget,Moderately Old,1,2.6
4680.0,Independent Builder Floor,sector 1,1,5,"Palam Vihar, Gurgaon",1170.0,1,4,Unfurnished,2,south-west,Semi-Luxury,Relatively New,1,3.82
1800.0,Flat,sector 37,1,3,ramprastha primera,600.0,0,3,Unfurnished,3+,north-east,Budget,Relatively New,0,1.65
2700.0,Independent Builder Floor,sector 67,1,4,"Sector 67A, Gurgaon",675.0,1,4,Semi-Furnished,2,east,Budget,New Property,1,2.9
1711.0,Flat,sector 108,1,3,sobha city,570.3333333333334,0,3,Unfurnished,3,north-west,Budget,New Property,1,3.48
1800.0,Independent Builder Floor,sector 25,1,4,"DLF Phase 2, Gurgaon",600.0,1,3,Furnished,2,north-east,Budget,Relatively New,0,3.39
630.0,Independent House,sector 92,0,3,"Garhi Harsaru, Gurgaon",210.0,0,3,Unfurnished,1,not available,Budget,Relatively New,0,0.48
2430.0,Independent House,sector 49,0,6,B block,347.14285714285717,1,7,Semi-Furnished,3,east,Semi-Luxury,Moderately Old,1,9.0
3510.0,Flat,sector 65,1,4,m3m golfestate,877.5,1,4,Semi-Furnished,3+,north,Luxury,Relatively New,1,8.6
2450.0,Flat,sector 37,1,4,bptp park serene,612.5,1,4,Unfurnished,3+,north-east,Luxury,Relatively New,0,2.65
1500.0,Independent Builder Floor,sector 1,1,3,"Block C Palam Vihar, Gurgaon",500.0,1,3,Unfurnished,2,west,Semi-Luxury,New Property,0,2.49
1800.0,Flat,sector 56,1,3,intelligentsia apartment,600.0,0,3,Unfurnished,3,north-west,Semi-Luxury,Moderately Old,1,2.42
2527.0,Flat,sector 67,1,3,ireo victory valley,842.3333333333334,1,3,Unfurnished,3,north,Semi-Luxury,Relatively New,0,5.15
4500.0,Flat,sector 72,1,4,tata primanti,1125.0,1,4,Furnished,3+,north-east,Luxury,Moderately Old,1,8.5
1945.0,Flat,sector 48,1,3,parsvnath green ville,648.3333333333334,0,3,Unfurnished,3,north,Semi-Luxury,Old Property,0,2.32
1610.0,Flat,sector 84,1,2,spaze privy at4,805.0,0,2,Unfurnished,3,north-east,Semi-Luxury,Relatively New,0,1.7
1610.0,Flat,sector 84,1,2,spaze privy at4,805.0,0,2,Unfurnished,3,north,Budget,New Property,0,1.65
1508.0,Flat,sector 62,1,2,emaar digihomes,754.0,0,2,Unfurnished,2,north,Budget,Relatively New,0,3.5
2650.0,Flat,sector 89,1,4,ats marigold,883.3333333333334,1,3,Unfurnished,3+,south-east,Semi-Luxury,New Property,0,2.91
2000.0,Flat,sector 103,1,3,indiabulls centrum park,666.6666666666666,0,3,Unfurnished,3+,west,Luxury,Relatively New,0,2.1
1449.0,Independent House,sector 43,0,4,"Sector 43, Gurgaon",362.25,0,4,Unfurnished,2,west,Semi-Luxury,Old Property,1,6.5
3240.0,Independent Builder Floor,sector 50,1,5,"Nirvana Country, Gurgaon",810.0,1,4,Semi-Furnished,2,east,Budget,Relatively New,1,5.85
3979.0,Flat,sector 43,1,5,dlf the pinnacle,994.75,1,4,Unfurnished,3+,east,Budget,Old Property,0,13.5
2343.0,Flat,sector 108,1,5,sobha city,781.0,1,3,Unfurnished,2,north,Semi-Luxury,Relatively New,0,4.6
1877.0,Flat,sector 50,1,4,unitech fresco,625.6666666666666,1,3,Unfurnished,3+,north,Luxury,Relatively New,0,2.76
4500.0,Independent House,sector 26,0,5,"DLF Phase 1, Gurgaon",1125.0,0,4,Unfurnished,3+,north-west,Budget,Relatively New,0,6.15
675.0,Independent House,sector 110,0,3,"Block A New Palam Vihar Phase 2, Gurgaon",337.5,0,2,Unfurnished,1,east,Budget,Moderately Old,0,0.9
3154.0,Flat,sector 67,1,4,m3m merlin,788.5,1,4,Unfurnished,3,east,Budget,Relatively New,0,5.9
1380.0,Independent Builder Floor,sector 65,1,3,Emaar Emerald Hills,460.0,0,3,Unfurnished,3,north,Luxury,Relatively New,0,2.4
1494.0,Independent Builder Floor,sector 89,1,3,M3M Soulitude,498.0,0,3,Unfurnished,2,north-west,Luxury,New Property,1,1.64
3150.0,Flat,sector 104,1,4,ats triumph,787.5,1,4,Unfurnished,3+,east,Budget,Relatively New,0,4.05
1935.0,Independent Builder Floor,sector 43,1,3,Super Luxury Brand New,645.0,1,3,Semi-Furnished,2,north,Semi-Luxury,New Property,0,3.0
1852.0,Flat,sector 102,1,3,shapoorji pallonji joyville gurugram,617.3333333333334,0,3,Unfurnished,3,east,Semi-Luxury,New Property,0,2.6
2430.0,Independent Builder Floor,sector 67,1,4,Ansal API Versalia,607.5,1,4,Semi-Furnished,2,east,Luxury,New Property,1,2.6
1983.0,Flat,sector 54,1,4,dlf park place,661.0,1,3,Semi-Furnished,3+,south,Semi-Luxury,Old Property,0,7.0
2905.0,Flat,sector 72,1,4,tata primanti,726.25,1,4,Semi-Furnished,3+,north,Luxury,Moderately Old,0,5.75
918.0,Independent House,sector 40,0,4,"HUDA Plots, Sector 40, Gurgaon",306.0,0,3,Unfurnished,2,north-west,Semi-Luxury,Old Property,0,3.4
1800.0,Independent House,farukhnagar,0,4,"Farukhnagar, Gurgaon",360.0,0,5,Unfurnished,3,south-east,Budget,Relatively New,0,1.2
750.0,Independent House,sector 6,0,3,"Dayanand Colony, Gurgaon",250.0,0,3,Unfurnished,2,west,Budget,Relatively New,0,1.35
1404.0,Flat,sector 91,1,2,tarc maceo,702.0,0,2,Unfurnished,3,north,Budget,Relatively New,0,1.4
1440.0,Independent House,sector 9,0,3,"Sector 9, Gurgaon",360.0,1,4,Furnished,2,east,Luxury,Moderately Old,1,3.7
