property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,6.5,4500.0,4,5,2,1,0,east,Semi-Furnished,New Property,1125.0,Semi-Luxury,Low-rise
Flat,emaar mgf emerald floors premier,sector 65,3.1,1650.0,3,3,3,1,0,north,Furnished,New Property,550.0,Semi-Luxury,Low-rise
Flat,orris carnation residency,sector 85,1.65,1975.0,4,4,3,0,0,north-west,Unfurnished,Moderately Old,493.75,Luxury,Low-rise
Flat,prerna society,sector 56,2.5,1950.0,3,3,3,1,0,north,Unfurnished,Moderately Old,650.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C2 Sector 3, Gurgaon",sector 3,1.65,1550.0,3,2,1,0,0,not available,Unfurnished,New Property,516.6666666666666,Semi-Luxury,Low-rise
Flat,emaar mgf palm hills,sector 77,1.8,1450.0,3,4,3,1,0,north-east,Unfurnished,Relatively New,483.3333333333333,Luxury,Mid-rise
Independent House,"Malibu Town, Gurgaon",sector 47,14.5,4500.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,750.0,Luxury,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,4.45,2700.0,4,4,2,1,0,north,Semi-Furnished,Relatively New,675.0,Budget,Low-rise
Independent House,"Sushant Lok Phase 2, Gurgaon",sector 55,4.95,1620.0,6,6,3+,0,0,east,Unfurnished,Old Property,270.0,Budget,Low-rise
Independent House,DLF City Plots Phase 2,sector 25,19.0,3618.0,6,8,3+,1,1,north-west,Semi-Furnished,Moderately Old,603.0,Semi-Luxury,Low-rise
Flat,aipl the peaceful homes,sector 70,4.0,2350.0,3,4,3,1,0,east,Furnished,Moderately Old,783.3333333333334,Luxury,High-rise
Independent Builder Floor,"Sector 7, Gurgaon",sector 7,1.95,1950.0,3,3,2,1,0,east,Furnished,Relatively New,650.0,Luxury,Low-rise
Flat,ats marigold,sector 89,2.45,2150.0,3,4,3+,1,0,south-east,Unfurnished,New Property,716.6666666666666,Semi-Luxury,High-rise
Flat,emaar mgf emerald estate,sector 65,1.99,1020.0,2,2,2,0,0,east,Unfurnished,Relatively New,510.0,Luxury,Low-rise
Flat,bptp park serene,sector 37,2.65,2450.0,4,4,3+,1,0,north-east,Unfurnished,Relatively New,612.5,Luxury,Mid-rise
Flat,sobha city,sector 108,3.48,1711.0,3,3,2,0,0,east,Unfurnished,New Property,570.3333333333334,Semi-Luxury,Mid-rise
Independent House,DLF City Plots Phase 2,sector 25,10.5,1935.0,9,9,3+,1,0,north,Semi-Furnished,Relatively New,215.0,Budget,Low-rise
Independent Builder Floor,Vatika Primrose Floors,sector 82,2.3,2000.0,4,3,2,0,0,east,Unfurnished,Relatively New,500.0,Budget,Low-rise
Flat,mapsko royale ville,sector 82,1.9,1790.0,3,4,2,1,0,north,Unfurnished,Relatively New,596.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sector-35 Sohna, Gurgaon",sector 35,1.62,1467.0,3,3,3,0,0,east,Semi-Furnished,New Property,489.0,Luxury,Low-rise
Flat,emaar mgf palm hills,sector 77,1.82,1450.0,3,4,3,1,0,north,Unfurnished,Relatively New,483.3333333333333,Luxury,Mid-rise
Independent House,"Block D Rajendra Park, Gurgaon",sector 1,1.05,1350.0,4,2,1,0,0,not available,Unfurnished,Old Property,337.5,Budget,Low-rise
Independent House,DLF Gardencity,sector 91,7.0,1800.0,9,8,3+,0,0,north,Unfurnished,Relatively New,200.0,Budget,Low-rise
Independent House,"Sector 4, Gurgaon",sector 4,3.05,1449.0,2,2,2,0,0,east,Unfurnished,Moderately Old,724.5,Budget,Low-rise
Independent House,"New Palam Vihar, Gurgaon",sector 110,1.5,1400.0,2,2,0,0,0,not available,Unfurnished,Moderately Old,700.0,Budget,Low-rise
Independent House,"Saraswati Vihar, Gurgaon",sector 28,2.5,1400.0,7,5,0,0,0,not available,Unfurnished,Moderately Old,200.0,Budget,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.62,1494.0,3,3,2,0,0,east,Unfurnished,New Property,498.0,Luxury,Low-rise
Independent Builder Floor,Huda Flats,sector 57,2.52,1885.0,3,3,2,0,0,west,Unfurnished,Relatively New,628.3333333333334,Budget,Low-rise
Flat,vatika gurgaon 21,sector 83,1.38,1245.0,2,2,1,0,0,east,Unfurnished,Moderately Old,622.5,Luxury,Low-rise
Independent House,"Sector 41, Gurgaon",sector 41,2.3,540.0,2,2,1,0,0,not available,Unfurnished,Old Property,270.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,11.0,3240.0,4,4,3,1,1,north-east,Unfurnished,Moderately Old,810.0,Semi-Luxury,Low-rise
Flat,experion windchants,sector 112,7.9,6325.0,5,6,3+,1,0,east,Unfurnished,Relatively New,1265.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,4.45,4680.0,4,4,3+,1,0,north,Unfurnished,New Property,1170.0,Budget,Low-rise
Flat,silverglades the ivy,sector 28,9.5,3843.0,4,5,3,1,1,north-west,Semi-Furnished,Old Property,960.75,Luxury,Mid-rise
Independent Builder Floor,Ansal API Versalia,sector 67,2.99,2430.0,4,4,2,1,0,west,Semi-Furnished,Relatively New,607.5,Luxury,Low-rise
Flat,dlf new town heights 2,sector 86,2.1,1930.0,3,3,3,1,0,north,Unfurnished,Old Property,643.3333333333334,Semi-Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.5,1692.0,3,3,3,0,0,north,Unfurnished,Relatively New,564.0,Luxury,Mid-rise
Flat,vatika sovereign park,sector 99,3.65,2780.0,3,5,3+,1,0,east,Unfurnished,Relatively New,926.6666666666666,Semi-Luxury,High-rise
Flat,sare homes,sector 92,1.6,1886.0,4,3,2,0,0,north,Unfurnished,Relatively New,471.5,Budget,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.6,2250.0,3,3,2,0,0,north,Semi-Furnished,New Property,750.0,Budget,Low-rise
Independent Builder Floor,"South City 1, Gurgaon",sector 41,3.9,2160.0,3,3,2,1,0,south-east,Semi-Furnished,New Property,720.0,Semi-Luxury,Low-rise
Flat,paras dews,sector 106,1.49,1385.0,2,2,3+,0,0,north-east,Unfurnished,New Property,692.5,Luxury,Low-rise
Flat,bestech park view city,sector 48,4.35,2336.0,4,4,3+,1,0,north,Unfurnished,Old Property,584.0,Semi-Luxury,Mid-rise
Flat,spaze privy at4,sector 84,1.65,1610.0,2,2,3,0,0,north,Unfurnished,New Property,805.0,Semi-Luxury,Mid-rise
Flat,orchid petals,sector 49,2.99,1805.0,3,3,3,0,0,not available,Unfurnished,Moderately Old,601.6666666666666,Semi-Luxury,Mid-rise
Flat,orris carnation residency,sector 85,0.95,1115.0,2,2,2,0,0,west,Unfurnished,Moderately Old,557.5,Semi-Luxury,Mid-rise
Flat,sobha city,sector 108,4.6,2343.0,3,5,2,1,0,north,Unfurnished,Relatively New,781.0,Semi-Luxury,Mid-rise
Independent House,"Sector 57, Gurgaon",sector 57,7.23,2367.0,3,3,2,0,0,north-east,Unfurnished,Relatively New,789.0,Semi-Luxury,Low-rise
Flat,m3m heights,sector 65,3.44,1828.0,3,3,3,0,0,north,Unfurnished,Relatively New,609.3333333333334,Semi-Luxury,Mid-rise
Flat,dlf the aralias,sector 42,35.6,5600.0,4,6,3+,1,1,north-east,Unfurnished,Old Property,1400.0,Luxury,Mid-rise
Independent Builder Floor,Mayfield Gardens,sector 50,3.1,2700.0,4,4,2,1,0,east,Semi-Furnished,New Property,675.0,Luxury,Low-rise
Flat,dlf park place,sector 54,7.0,1983.0,3,4,3+,1,0,south,Semi-Furnished,Old Property,661.0,Luxury,Mid-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.95,2061.0,3,3,2,1,0,north,Unfurnished,New Property,687.0,Semi-Luxury,Low-rise
Flat,tulip yellow,sector 69,2.31,1704.0,3,3,3+,0,0,north-east,Unfurnished,New Property,568.0,Luxury,Low-rise
Independent House,"Ardee City, Gurgaon",sector 52,2.2,2160.0,3,3,1,0,0,not available,Unfurnished,Old Property,720.0,Budget,Low-rise
Flat,bestech park view residency,Old Gurgaon,1.78,1780.0,2,2,3+,0,0,south-east,Unfurnished,Moderately Old,890.0,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,4.4,3200.0,4,4,2,1,0,south-west,Semi-Furnished,New Property,800.0,Budget,Low-rise
Independent House,Ansal Homes,sector 57,9.0,2700.0,6,6,3+,1,1,north-east,Semi-Furnished,Relatively New,450.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 63A, Gurgaon",sector 63,2.2,1620.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,540.0,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.27,1720.0,3,3,3,1,0,west,Unfurnished,Moderately Old,573.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,Super Luxury Two Side Open,sector 25,5.9,3618.0,4,4,2,0,0,south-east,Semi-Furnished,New Property,904.5,Luxury,Low-rise
Flat,sobha city,sector 108,3.48,1711.0,3,3,3,0,0,north-west,Unfurnished,New Property,570.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.65,2430.0,4,3,2,1,1,west,Unfurnished,Relatively New,607.5,Budget,Low-rise
Independent House,"Manesar, Gurgaon",IMT Manesar Industrial Zone,4.5,2178.0,3,4,3,1,0,east,Unfurnished,Relatively New,726.0,Budget,Low-rise
Flat,m3m merlin,sector 67,5.8,3154.0,4,4,3+,1,0,north-east,Semi-Furnished,Moderately Old,788.5,Semi-Luxury,Low-rise
Flat,experion windchants,sector 112,7.88,4857.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,1214.25,Semi-Luxury,High-rise
Independent House,DLF City Plots,sector 26,7.0,1800.0,4,4,3+,0,0,not available,Unfurnished,Old Property,450.0,Budget,Low-rise
Independent House,"Sector 5, Gurgaon",sector 5,5.25,2367.0,4,4,2,0,0,south-west,Unfurnished,Old Property,591.75,Budget,Low-rise
Flat,dlf the ultima,sector 81,4.85,2872.0,4,4,3+,1,0,north-east,Semi-Furnished,Relatively New,718.0,Semi-Luxury,Mid-rise
Flat,adani m2k oyster grande,sector 102,2.4,1689.0,3,3,3+,0,0,north-east,Unfurnished,Relatively New,563.0,Semi-Luxury,Mid-rise
Flat,bestech park view spa next,sector 67,3.0,1935.0,3,4,3,1,0,north,Semi-Furnished,Moderately Old,645.0,Luxury,Mid-rise
Independent House,urban home,sector 105,0.65,520.0,2,2,1,0,0,east,Unfurnished,New Property,260.0,Budget,Low-rise
Independent House,Unitech Espace,sector 50,12.9,3240.0,4,4,3,1,0,east,Semi-Furnished,Old Property,810.0,Luxury,Low-rise
Flat,signature signum 81,sector 81,1.25,955.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,477.5,Budget,Low-rise
Flat,m3m merlin,sector 67,4.85,2400.0,3,4,3,0,0,not available,Unfurnished,Moderately Old,800.0,Budget,Mid-rise
Flat,cosmos express 99,sector 99,1.38,1550.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,775.0,Semi-Luxury,Mid-rise
Flat,vatika city,sector 49,3.45,1955.0,3,4,3+,1,1,south-west,Furnished,Relatively New,651.6666666666666,Luxury,Mid-rise
Flat,indiabulls enigma,sector 110,5.5,3830.0,5,6,3+,1,0,north-east,Unfurnished,Relatively New,766.0,Luxury,Mid-rise
Independent Builder Floor,"Sector 9, Gurgaon",sector 9,2.45,2350.0,4,4,2,1,0,north-west,Semi-Furnished,Relatively New,587.5,Luxury,Low-rise
Independent Builder Floor,"Block E DLF City Phase 1, Gurgaon",sector 26,4.25,2700.0,3,3,2,0,0,not available,Unfurnished,New Property,900.0,Budget,Low-rise
Flat,hero homes,sector 104,1.85,1359.0,3,2,2,0,0,north-east,Unfurnished,New Property,453.0,Luxury,Mid-rise
Independent House,Eros Rosewood City,sector 49,4.5,1377.0,3,3,1,0,0,not available,Unfurnished,Moderately Old,459.0,Budget,Low-rise
Independent House,"Sector 14, Gurgaon",sector 14,3.75,1440.0,3,3,2,0,0,north-east,Unfurnished,Old Property,480.0,Budget,Low-rise
Flat,dlf gardencity enclave,sector 93,1.86,1620.0,3,3,2,0,1,east,Unfurnished,Relatively New,540.0,Luxury,Low-rise
Flat,smart world gems,sector 89,1.28,1103.0,2,2,2,0,0,north-west,Unfurnished,New Property,551.5,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,2.62,2300.0,3,3,2,1,0,north-west,Semi-Furnished,New Property,766.6666666666666,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal API Versalia,sector 67,2.7,1800.0,4,4,2,0,0,east,Semi-Furnished,New Property,450.0,Semi-Luxury,Low-rise
Independent Builder Floor,wide road,sector 43,5.0,3762.0,4,5,2,0,0,east,Semi-Furnished,New Property,940.5,Semi-Luxury,Low-rise
Independent House,"Sector 82, Gurgaon",sector 82,1.35,927.0,2,2,1,0,0,north-west,Unfurnished,Moderately Old,463.5,Budget,Low-rise
Independent House,"Sector 24, Gurgaon",sector 24,5.0,2700.0,10,10,0,0,0,not available,Unfurnished,Moderately Old,270.0,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.6,1900.0,3,4,3+,1,0,north,Unfurnished,Relatively New,633.3333333333334,Luxury,Mid-rise
Flat,eldeco acclaim,Greater Gurugram - Sohna Region,1.65,1457.0,2,2,3+,0,0,north-west,Furnished,Relatively New,728.5,Luxury,High-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.75,2430.0,4,4,2,1,1,south,Unfurnished,Relatively New,607.5,Budget,Low-rise
Independent Builder Floor,M3M Soulitude,sector 89,1.32,1157.0,2,2,2,0,0,north-west,Unfurnished,New Property,578.5,Luxury,Low-rise
Independent Builder Floor,Palam Vihar Society,Old Gurgaon,2.18,1796.0,3,4,3,1,0,not available,Unfurnished,Old Property,598.6666666666666,Budget,Low-rise
Flat,spaze kalistaa,sector 84,3.5,3200.0,3,6,3,1,0,east,Unfurnished,Relatively New,1066.6666666666667,Semi-Luxury,Mid-rise
Flat,tulip violet,sector 69,3.2,2010.0,4,4,2,1,0,north-east,Semi-Furnished,Moderately Old,502.5,Semi-Luxury,Low-rise
Flat,emaar mgf palm hills,sector 77,1.7,1450.0,3,4,3,1,1,east,Unfurnished,Relatively New,483.3333333333333,Semi-Luxury,Low-rise
Flat,hero homes,sector 104,1.6,1099.0,2,2,2,0,0,east,Unfurnished,New Property,549.5,Budget,High-rise
Flat,mahindra aura,sector 110,3.25,2428.0,4,4,3+,1,0,east,Unfurnished,Moderately Old,607.0,Luxury,Low-rise
Independent Builder Floor,Super Luxury Brand New,sector 43,3.0,1935.0,3,3,2,1,0,north,Semi-Furnished,New Property,645.0,Semi-Luxury,Low-rise
Independent House,"New Palam Vihar, Gurgaon",sector 110,1.2,900.0,3,3,2,0,0,west,Unfurnished,Relatively New,300.0,Budget,Low-rise
Independent House,"Sector 14, Gurgaon",sector 14,6.75,2628.0,5,5,3,1,1,south-east,Unfurnished,Old Property,525.6,Semi-Luxury,Low-rise
Flat,bestech park view sanskruti,sector 92,2.84,2475.0,4,5,3,1,0,north-east,Unfurnished,Relatively New,618.75,Semi-Luxury,Mid-rise
Independent Builder Floor,Unitech Escape,sector 50,5.45,2300.0,4,4,3,0,0,north-east,Semi-Furnished,New Property,575.0,Semi-Luxury,Low-rise
Flat,sare crescent parc,sector 92,1.75,1995.0,4,4,3,0,0,east,Unfurnished,Relatively New,498.75,Semi-Luxury,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.05,1349.0,2,2,2,0,0,east,Unfurnished,New Property,674.5,Luxury,Mid-rise
Flat,ashiana anmol,Greater Gurugram - Sohna Region,1.3,1205.0,2,2,2,0,0,north,Unfurnished,New Property,602.5,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sector 63A, Gurgaon",sector 63,2.3,1450.0,3,2,2,1,0,east,Semi-Furnished,New Property,483.3333333333333,Semi-Luxury,Low-rise
Independent Builder Floor,Luxury Builder Floors dlf phase 2,sector 25,4.65,2844.0,4,4,2,1,0,west,Semi-Furnished,Relatively New,711.0,Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.05,1836.0,3,2,2,0,0,east,Furnished,Relatively New,612.0,Budget,Low-rise
Flat,dlf the skycourt,sector 86,2.4,1929.0,3,3,1,0,0,east,Unfurnished,Relatively New,643.0,Luxury,Mid-rise
Flat,orris aster court,sector 85,1.55,1675.0,3,3,3,0,0,north,Unfurnished,Moderately Old,558.3333333333334,Luxury,Low-rise
Flat,tulip violet,sector 69,3.15,2010.0,4,4,2,0,0,not available,Unfurnished,Relatively New,502.5,Budget,Mid-rise
Independent House,"Garhi Harsaru, Gurgaon",sector 92,0.48,630.0,3,3,1,0,0,not available,Unfurnished,Relatively New,210.0,Budget,Low-rise
Independent Builder Floor,Ace Palm Floors,sector 89,2.65,1880.0,3,3,2,0,1,north,Unfurnished,Old Property,626.6666666666666,Semi-Luxury,Low-rise
Independent House,Eldeco Mansionz,sector 48,9.75,3240.0,5,6,3,1,1,north-east,Unfurnished,Old Property,648.0,Semi-Luxury,Low-rise
Flat,hero homes,sector 104,2.35,1689.0,3,3,3,0,0,north-east,Semi-Furnished,New Property,563.0,Semi-Luxury,Mid-rise
Flat,conscient elevate,sector 59,6.3,2595.0,3,3,2,1,0,east,Semi-Furnished,New Property,865.0,Semi-Luxury,Low-rise
Flat,vatika sovereign park,sector 99,4.03,3360.0,4,4,3+,1,0,north-east,Unfurnished,New Property,840.0,Luxury,Mid-rise
Independent House,BPTP Astaire Gardens,sector 70,9.0,3375.0,4,4,3+,1,1,east,Unfurnished,New Property,843.75,Luxury,Low-rise
Independent House,"Sector 10A, Gurgaon",sector 10,6.5,2367.0,4,4,3+,0,0,east,Unfurnished,Relatively New,591.75,Semi-Luxury,Low-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,20.5,3618.0,3,2,1,0,0,north-east,Unfurnished,Moderately Old,1206.0,Semi-Luxury,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.6,1852.0,3,3,3,0,0,north,Unfurnished,New Property,617.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,Luxury Builder Floor In Sushant Lok 1,sector 43,4.15,2700.0,4,4,2,1,0,west,Unfurnished,New Property,675.0,Budget,Low-rise
Flat,bestech park view grand spa,sector 81,3.49,2660.0,3,4,3+,1,0,west,Unfurnished,Relatively New,886.6666666666666,Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,10.5,4680.0,9,9,3+,1,1,east,Semi-Furnished,Moderately Old,520.0,Semi-Luxury,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.62,1494.0,3,3,3,0,0,north-west,Unfurnished,Relatively New,498.0,Semi-Luxury,Low-rise
Flat,central park flower valley flamingo floors,sector 33,1.58,1100.0,2,2,3+,0,0,north,Unfurnished,Relatively New,550.0,Semi-Luxury,Low-rise
Flat,bestech park view grand spa,sector 81,5.25,4200.0,4,6,3+,1,0,north-east,Semi-Furnished,Relatively New,1050.0,Luxury,High-rise
Flat,smart world orchard,sector 61,2.75,1712.0,3,3,2,0,0,east,Unfurnished,New Property,570.6666666666666,Semi-Luxury,Low-rise
Flat,ireo the corridors,sector 67,2.25,1296.0,2,2,2,0,0,north,Unfurnished,Relatively New,648.0,Semi-Luxury,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.64,1494.0,3,3,2,1,0,north,Unfurnished,New Property,498.0,Budget,Low-rise
Flat,piedmont taksila heights,sector 37,1.4,1537.0,3,3,3,0,0,south-west,Unfurnished,Moderately Old,512.3333333333334,Semi-Luxury,Mid-rise
Independent House,"Sector 109, Gurgaon",sector 109,9.0,2430.0,4,4,3,1,0,east,Unfurnished,Relatively New,607.5,Luxury,Low-rise
Flat,pyramid square 67a,sector 67,0.9,592.0,2,2,2,0,0,north,Unfurnished,Relatively New,296.0,Budget,Mid-rise
Flat,unitech fresco,sector 50,2.3,1426.0,2,3,2,0,0,east,Semi-Furnished,Moderately Old,713.0,Luxury,Mid-rise
Independent Builder Floor,Ansals Palam Vihar,Old Gurgaon,4.21,4680.0,4,5,3+,0,1,north-east,Semi-Furnished,New Property,1170.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.75,2700.0,4,4,2,1,0,south,Semi-Furnished,New Property,675.0,Budget,Low-rise
Independent House,International City by Sobha Phase 1,sector 109,9.3,4100.0,5,6,3,1,0,east,Semi-Furnished,Relatively New,820.0,Luxury,Low-rise
Flat,dlf new town heights 2,sector 86,2.25,1930.0,3,3,3,1,0,south-west,Unfurnished,Moderately Old,643.3333333333334,Luxury,High-rise
Flat,greenopolis,sector 89,1.59,1910.0,3,3,3,1,0,east,Furnished,Relatively New,636.6666666666666,Luxury,Mid-rise
Flat,hero homes,sector 104,1.55,1099.0,2,2,2,0,0,north-east,Semi-Furnished,New Property,549.5,Semi-Luxury,Mid-rise
